Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats,
12350000,Sour cream dip,1,.25000,cup,.25000,.25000,1.00000,.04799,.00000,.04070,.00000,.00000,.00000,.04070,.00000,.00000,.00000,.00000,.00000,.00000,105.64850,1.57001,.00000,133.65000,7.36898,
13110120,"Ice cream, rich",1,1.00000,cup,1.00000,.25000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.25160,.09620,.00000,.00000,.00000,213.06672,96.10340,.00000,368.52000,15.28840,
13110200,Soft serve ice cream,1,1.00000,cup,1.00000,.25000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.38233,.00000,.00000,.00000,.00000,170.39808,123.83793,.00000,347.73000,11.74670,
13120100,"Ice cream bar, chocolate covered",2,1.00000,Klondike Krispy bar,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.16008,.00000,.00000,.00000,.00000,184.52808,74.82821,.00000,277.84000,15.75040,
13120500,Ice cream sandwich,1,1.00000,sandwich,1.00000,.50000,.50000,.53454,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.09912,.00000,.00000,.00000,.00000,49.46265,48.40002,.00000,143.37000,3.23320,
13160150,"Low fat, low sugar ice milk",1,1.00000,cup,1.00000,.25000,.25000,.04176,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.43344,.08928,.00000,.00000,.35200,7.97040,73.98561,.00000,152.64000,.89280,
14104010,"Cheese (cheddar, Swiss)",2,.25000,cup shredded,.25000,.25000,1.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.66444,.00000,.00000,.00000,.00000,83.06347,.00000,.00000,113.84750,5.95793,
14104400,Feta or goat cheese,1,.25000,cup crumbled,.25000,.25000,1.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.66150,.00000,.00000,.00000,.00000,70.62862,.00000,.00000,99.00000,5.60625,
14107030,Mozzarella cheese (part skim),1,1.00000,slice (slice = 1 oz),1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.66679,.00000,.00000,.00000,.00000,49.90734,.00000,.00000,85.61700,3.59194,
14109030,Low fat cheddar or Swiss,2,1.00000,cubic inch,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.52905,.00000,.00000,.00000,.00000,5.93325,.00000,.00000,27.00000,.49600,
14201010,"Cottage cheese, creamed",1,.50000,cup,.50000,.25000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.20055,.00000,.00000,.00000,.00000,42.26040,.00000,.00000,108.15000,2.99250,
14201500,Ricotta cheese,1,.25000,cup,.25000,.25000,1.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.50000,.00000,.00000,.00000,.00000,56.93855,.00000,.00000,95.94000,4.06515,
14204010,Lowfat cottage cheese,1,.50000,cup,.50000,.25000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.24973,.00000,.00000,.00000,.00000,9.92592,.00000,.00000,81.36000,.73450,
14301010,Cream cheese (regular),1,1.00000,Tablespoon,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,45.50535,.00000,.00000,50.60500,3.18565,
14303010,Low fat cream cheese,1,1.00000,Tablespoon,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,23.76000,.00000,.00000,34.65000,1.66350,
14410200,American cheese (processed),2,1.00000,cubic inch,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.30870,.00000,.00000,.00000,.00000,40.47435,.00000,.00000,58.80000,2.72475,
14410350,Fat-free American cheese,2,1.00000,cubic inch,1.00000,.50000,.50000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.38102,.00000,.00000,.00000,.00000,.48114,.00000,.00000,23.97600,.08100,
14420100,Cheese spread or dip,1,4.00000,Tablespoons,.25000,1.00000,.25000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,.00000,1.07604,.00000,.00000,.00000,.00000,114.79590,7.25774,.00000,176.90000,8.13130,
14620100,Cream cheese dip,1,2.00000,Tablespoons,2.00000,1.00000,.50000,.00000,.00000,.00360,.00000,.00000,.00000,.00360,.00000,.00000,.00660,.00000,.00000,.49133,76.29120,.28282,.00000,106.20000,5.67000,
